npi,specialty_description,nppes_provider_state,total_rx,patient_volume,pct_first_line,pct_innovative,pct_dpp4,pct_legacy,pct_insulin,pct_tzd,care_gap_score,innovation_score
1487016176,Physician Assistant,CO,45.0,0.0,0.3111111111111111,0.6888888888888889,0.0,0.0,0.0,0.0,0.0,0.6888888888888889
1609385715,Nurse Practitioner,AR,171.0,13.0,0.2865497076023391,0.3859649122807017,0.0,0.1403508771929824,0.1871345029239766,0.0,1.142853154532869,0.3859649122807017
1518932169,Nurse Practitioner,MN,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760541387,Internal Medicine,CA,316.0,108.0,0.7183544303797469,0.0537974683544303,0.0,0.2278481012658227,0.0,0.0,0.3171801752029278,0.0537974683544303
1407173347,Family Practice,GA,1717.0,324.0,0.2032615026208503,0.3273150844496214,0.1199767035527082,0.1525917297612114,0.1968549796156086,0.0,1.7191892497193646,0.3273150844496214
1710927603,Physical Medicine and Rehabilitation,TX,22.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881037380,Nurse Practitioner,CA,78.0,51.0,0.5897435897435898,0.141025641025641,0.0,0.2692307692307692,0.0,0.0,0.4565209650296679,0.141025641025641
1467605469,Family Practice,OH,231.0,54.0,0.3116883116883117,0.5930735930735931,0.0,0.0,0.0952380952380952,0.0,0.3055545752346267,0.5930735930735931
1073137857,General Practice,FL,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831462365,Cardiology,CA,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1225291727,Internal Medicine,CA,80.0,0.0,0.425,0.575,0.0,0.0,0.0,0.0,0.0,0.575
1659662419,Family Practice,IN,207.0,41.0,0.4975845410628019,0.0772946859903381,0.0676328502415458,0.0821256038647343,0.2222222222222222,0.0531400966183574,0.6116492562000386,0.0772946859903381
1003348186,Family Practice,PA,646.0,115.0,0.3513931888544891,0.2569659442724458,0.0541795665634674,0.1563467492260062,0.1811145510835913,0.0,0.9603496899299574,0.2569659442724458
1730798919,Nurse Practitioner,FL,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1821033895,Physician Assistant,VA,39.0,0.0,0.3846153846153846,0.282051282051282,0.0,0.0,0.3333333333333333,0.0,0.866664413339192,0.282051282051282
1174260475,Family Practice,OH,31.0,0.0,0.4838709677419355,0.5161290322580645,0.0,0.0,0.0,0.0,0.0,0.5161290322580645
1881653467,Family Practice,CA,113.0,15.0,0.672566371681416,0.1504424778761062,0.1769911504424778,0.0,0.0,0.0,0.0,0.1504424778761062
1447816855,Nurse Practitioner,MO,38.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0
1134199920,Internal Medicine,NY,716.0,74.0,0.3994413407821229,0.0349162011173184,0.217877094972067,0.1438547486033519,0.0516759776536312,0.1522346368715083,0.4895092640257587,0.0349162011173184
1578756821,Nurse Practitioner,KY,1127.0,103.0,0.2315882874889086,0.3114463176574978,0.0576752440106477,0.0807453416149068,0.2928127772848269,0.025732031943212,1.6130198548912775,0.3114463176574978
1710473301,Nurse Practitioner,MN,182.0,48.0,0.5769230769230769,0.1868131868131868,0.0,0.1758241758241758,0.0604395604395604,0.0,0.4095230996837701,0.1868131868131868
1063745735,Nurse Practitioner,ME,54.0,15.0,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.2777777777777778
1215554316,Emergency Medicine,OH,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1649666223,Internal Medicine,PA,285.0,56.0,0.3052631578947368,0.6140350877192983,0.0,0.0,0.0807017543859649,0.0,0.26436695006229,0.6140350877192983
1598178980,Nurse Practitioner,FL,144.0,34.0,0.7083333333333334,0.1111111111111111,0.0,0.1805555555555555,0.0,0.0,0.25490160092323,0.1111111111111111
1790847853,Pharmacist,CA,1034.0,337.0,0.2359767891682785,0.2156673114119922,0.0,0.2127659574468085,0.3355899419729207,0.0,2.323760644391367,0.2156673114119922
1356926299,Nurse Practitioner,CO,33.0,0.0,0.6060606060606061,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.3939393939393939
1629017710,Internal Medicine,MA,98.0,0.0,0.3877551020408163,0.6122448979591837,0.0,0.0,0.0,0.0,0.0,0.6122448979591837
1255991253,Family Practice,MS,164.0,49.0,0.3780487804878049,0.2256097560975609,0.0,0.3963414634146341,0.0,0.0,1.0483843236285637,0.2256097560975609
1477569523,Physician Assistant,TX,496.0,137.0,0.3487903225806452,0.1471774193548387,0.2963709677419355,0.1048387096774193,0.0604838709677419,0.0423387096774193,0.4739870803607408,0.1471774193548387
1336318583,Physician Assistant,NV,185.0,25.0,0.4054054054054054,0.1945945945945946,0.0,0.0594594594594594,0.3405405405405405,0.0,0.9866642328948922,0.1945945945945946
1841808532,Physician Assistant,OR,99.0,0.0,0.6161616161616161,0.1111111111111111,0.0,0.0,0.2727272727272727,0.0,0.4426222324655571,0.1111111111111111
1447473533,Nurse Practitioner,IN,160.0,29.0,0.8125,0.1875,0.0,0.0,0.0,0.0,0.0,0.1875
1285614263,Family Practice,PA,391.0,71.0,0.4347826086956521,0.289002557544757,0.0434782608695652,0.1381074168797953,0.0946291560102301,0.0,0.53529288647342,0.289002557544757
1104170851,Nurse Practitioner,NJ,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1467453381,Internal Medicine,CA,317.0,65.0,0.5962145110410094,0.3186119873817035,0.0441640378548895,0.0410094637223974,0.0,0.0,0.0687829534169511,0.3186119873817035
